Dia;Estación;Hora;Temperatura (°C);Humedad (%);Presión (hPa);Dir viento (°N);Dir viento;Velocidad de viento (m/s);CO (mg/m3);NO (ug/m3);NO2 (ug/m3);NOX (ug/m3);O3 (ug/m3);PM10 (ug/m3)
23/03/23;Otoño;07:00 a. m.;19,1;91;926,25;0;N;0;0,83;56,1;37,73;123,74;356,42;4
23/03/23;Otoño;08:00 a. m.;19,7;86;926,89;0;N;0;0,91;76,92;42,98;160,94;343,47;17,5
23/03/23;Otoño;09:00 a. m.;20;85;927,71;220;SSW;1,67;1,05;90,44;46,12;184,78;336,11;35
23/03/23;Otoño;10:00 a. m.;20,6;83;928,17;170;SSE;2,5;1,16;61,55;43,06;137,45;337,52;12,5
23/03/23;Otoño;11:00 a. m.;21,5;79;928,35;160;SSE;3,06;1,25;41,93;37,33;101,6;327,34;0
23/03/23;Otoño;12:00 p. m.;21,8;75;928,72;170;SSE;3,06;1,25;46,36;38,83;109,91;317,44;0
23/03/23;Otoño;01:00 p. m.;21,9;74;928,72;140;SSE;1,94;1,14;50,07;38,1;114,87;317,96;0,5
23/03/23;Otoño;02:00 p. m.;20,4;91;928,9;100;ESE;3,06;1,23;56,72;41,54;128,5;298,06;12
23/03/23;Otoño;03:00 p. m.;20,7;88;928,62;90;E;1,67;1,06;59,33;43,54;134,52;278,05;0
23/03/23;Otoño;04:00 p. m.;24;65;928,44;990;#N/D;1,67;1,03;56,28;44,47;130,76;252,89;0
23/03/23;Otoño;05:00 p. m.;24,2;63;927,25;60;ENE;3,06;1,04;61,47;49,31;143,56;230,18;19
23/03/23;Otoño;06:00 p. m.;23,8;67;927,34;90;E;1,67;1,02;32,79;49,21;99,49;233,75;22,5
23/03/23;Otoño;07:00 p. m.;23,2;70;927,53;70;ENE;1,94;1,03;44,2;58,13;125,9;199,91;13
23/03/23;Otoño;08:00 p. m.;22,6;73;928,35;70;ENE;1,94;0,82;71,4;51,6;161,07;63,54;29,5
23/03/23;Otoño;09:00 p. m.;22,5;77;928,81;990;#N/D;1,11;1,13;81,3;48,03;172,67;162,05;18,5
23/03/23;Otoño;10:00 p. m.;21,7;81;929,45;310;WNW;1,67;1,12;85,98;46,4;178,23;208,67;16
23/03/23;Otoño;11:00 p. m.;22;78;929,9;180;S;1,67;1,3;84,55;44,9;174,53;232,13;72,5
24/03/23;Otoño;12:00 a. m.;20,7;83;930,09;150;SSE;3,61;1,1;79,14;42,96;164,31;242,15;38
24/03/23;Otoño;01:00 a. m.;19,5;93;930,54;10;NNE;1,67;1,12;75,3;42,61;158,07;249,89;3
24/03/23;Otoño;02:00 a. m.;19,4;95;930,09;990;#N/D;1,11;1,16;75,01;41,47;156,5;268,71;9
24/03/23;Otoño;03:00 a. m.;19,4;95;929,36;990;#N/D;1,11;1,01;55,89;35,95;121,66;274,58;8,5
24/03/23;Otoño;04:00 a. m.;19,5;95;928,53;990;#N/D;0,56;0,98;42,95;36,71;102,57;277,33;3,5
24/03/23;Otoño;05:00 a. m.;19,2;95;927,98;990;#N/D;1,11;0,88;45,99;34,76;105,27;274,71;1
24/03/23;Otoño;06:00 a. m.;19,4;90;927,25;200;SSW;1,67;0,89;50,61;36,25;113,86;273,36;7
24/03/23;Otoño;07:00 a. m.;18,6;95;927,07;150;SSE;1,67;0,97;57,37;38,18;126,14;271,99;12
24/03/23;Otoño;08:00 a. m.;18,4;95;927,8;990;#N/D;1,11;0,94;84;43,75;172,54;268,98;4,5
24/03/23;Otoño;09:00 a. m.;19;93;928,26;360;N;1,67;1,02;89,95;45,94;183,86;270,6;8
24/03/23;Otoño;10:00 a. m.;20,5;84;928,17;50;ENE;1,67;1,14;66,94;43,18;145,81;258,5;0
24/03/23;Otoño;11:00 a. m.;22;77;927,71;20;NNE;1,94;1,01;47,83;41,62;114,96;229,57;0
24/03/23;Otoño;12:00 p. m.;23,5;67;927,16;360;N;1,94;0,86;49,26;43,08;118,62;199,45;2
24/03/23;Otoño;01:00 p. m.;24,3;65;926,25;50;ENE;3,06;0,69;45,91;41,67;112,07;190,13;4
24/03/23;Otoño;02:00 p. m.;25,4;60;924,79;360;N;4,17;0,79;45,23;43,42;112,78;170,05;10,5
24/03/23;Otoño;03:00 p. m.;27,5;52;923,41;20;NNE;5,56;0,81;43,47;45,07;111,71;150,09;9
24/03/23;Otoño;04:00 p. m.;28;48;921,95;50;ENE;6,11;0,7;42,33;46,67;111,58;142,77;6
24/03/23;Otoño;05:00 p. m.;27,8;47;921,59;50;ENE;5,28;0,78;44,23;48,06;115,88;150,32;2
24/03/23;Otoño;06:00 p. m.;28,1;44;921,49;50;ENE;4,17;0,76;44,97;45,73;114,67;152,94;17
24/03/23;Otoño;07:00 p. m.;27;47;922,13;50;ENE;3,06;0,66;61,37;50,8;144,9;156,77;16,5
24/03/23;Otoño;08:00 p. m.;26;56;923,05;20;NNE;1,67;1,04;87,6;51,4;185,73;154,74;7,5
24/03/23;Otoño;09:00 p. m.;24,7;62;923,69;0;N;0;1,41;118,32;54,54;235,96;199,23;19,5
24/03/23;Otoño;10:00 p. m.;24;64;924,42;310;WNW;1,67;1,81;104,84;54,12;214,87;228,01;57
24/03/23;Otoño;11:00 p. m.;23,3;69;924,97;270;W;1,67;1,76;71,84;48,06;158,22;240,55;21
25/03/23;Otoño;12:00 a. m.;20,8;80;925,43;360;N;1,67;1,64;63,91;46,18;144,16;238,79;20,5
25/03/23;Otoño;01:00 a. m.;20,4;81;925,52;190;SSW;1,11;1,74;56,55;43,5;130,21;241,75;48
25/03/23;Otoño;02:00 a. m.;19,6;85;926,25;180;S;1,67;1,85;47,36;39,84;112,46;239,06;45
25/03/23;Otoño;03:00 a. m.;19,5;88;926,25;200;SSW;1,11;1,71;39,48;34,7;95,25;233,4;32
25/03/23;Otoño;04:00 a. m.;19,7;86;926,16;180;S;1,94;1,31;38,78;34,11;93,57;228,19;21
25/03/23;Otoño;05:00 a. m.;19,4;88;925,97;190;SSW;1,67;1,01;39,53;34,98;95,6;222,39;17
25/03/23;Otoño;06:00 a. m.;19,8;86;925,61;220;SSW;1,67;0,9;45,02;36,35;105,39;215,13;9,5
25/03/23;Otoño;07:00 a. m.;18,4;92;926,7;90;E;2,5;0,81;61,49;38,33;132,62;205,19;15,5
25/03/23;Otoño;08:00 a. m.;18,5;93;927,89;0;N;0;0,78;103,05;46,6;204,61;198,83;17
25/03/23;Otoño;09:00 a. m.;20,2;85;928,44;990;#N/D;1,11;0,78;105,24;46,07;207,45;193,37;7
25/03/23;Otoño;10:00 a. m.;21,6;74;928,72;990;#N/D;1,11;0,69;81,38;46,52;171,29;197,74;8,5
25/03/23;Otoño;11:00 a. m.;23;72;928,99;110;ESE;1,67;0,72;72,01;49,53;159,95;189,14;9,5
25/03/23;Otoño;12:00 p. m.;23,6;73;929,17;110;ESE;2,5;0,59;62,74;48,2;144,4;167,34;14,5
25/03/23;Otoño;01:00 p. m.;24,1;66;928,9;160;SSE;4,17;0,53;51,73;43,81;123,14;155,65;0
25/03/23;Otoño;02:00 p. m.;23;74;928,81;150;SSE;6,11;0,49;48,05;45,63;119,3;143,83;13
25/03/23;Otoño;03:00 p. m.;24,8;59;927,98;120;ESE;4,72;0,56;34;49,07;101,2;142,16;0
25/03/23;Otoño;04:00 p. m.;25,9;49;927,16;150;SSE;3,61;0,78;34,18;49,2;101,61;152,17;2,8
25/03/23;Otoño;05:00 p. m.;26,6;52;927,16;140;SSE;3,06;0,92;38,44;47,46;106,41;168,36;8
25/03/23;Otoño;06:00 p. m.;25,9;49;927,62;140;SSE;3,06;1,15;43,56;47,42;114,21;152,96;16
25/03/23;Otoño;07:00 p. m.;25;51;928,35;130;ESE;3,06;1,16;65,14;53,56;153,44;172,93;22
25/03/23;Otoño;08:00 p. m.;24,5;53;929,26;140;SSE;2,5;1,75;129,17;56,92;254,98;175,12;28
25/03/23;Otoño;09:00 p. m.;24,1;52;930,09;180;S;2,5;1,82;112,8;53,66;226,63;185,63;16
25/03/23;Otoño;10:00 p. m.;23,5;44;931;140;SSE;3,61;1,72;90,47;53,19;191,89;169,19;23
25/03/23;Otoño;11:00 p. m.;22,8;46;931,46;180;S;2,5;1,62;79,84;50,63;173,05;158,31;10
26/03/23;Otoño;12:00 a. m.;22;47;931,46;0;N;0;1,54;89,97;51,61;189,58;147,36;8
26/03/23;Otoño;01:00 a. m.;21,8;49;931,55;140;SSE;3,61;1,42;78,46;50,43;170,73;185,93;12
26/03/23;Otoño;02:00 a. m.;21;51;932,1;180;S;4,17;1,06;73,77;49,53;162,64;178,36;8
26/03/23;Otoño;03:00 a. m.;20,5;51;931,91;180;S;3,06;0,96;62,96;46,12;142,67;158,64;19
26/03/23;Otoño;04:00 a. m.;20;50;931,46;180;S;2,5;0,83;56,76;44,59;131,61;152,36;10
26/03/23;Otoño;05:00 a. m.;19,5;49;931,09;140;SSE;2,5;0,82;49,26;42,28;117,82;112,39;8
26/03/23;Otoño;06:00 a. m.;19;48;931,27;140;SSE;2,5;0,75;49,14;42,36;117,7;100,97;2
26/03/23;Otoño;07:00 a. m.;18,8;52;931,27;140;SSE;2,5;0,68;61,68;44,12;138,69;97,39;2
26/03/23;Otoño;08:00 a. m.;18,3;59;931,73;180;S;1,94;0,59;62,7;44,44;140,57;99,54;0
26/03/23;Otoño;09:00 a. m.;18,3;63;932,01;160;SSE;1,67;0,46;71,08;47,07;156,06;85,64;16
26/03/23;Otoño;10:00 a. m.;18,4;64;932,01;130;ESE;1,67;0,88;61,17;49,37;143,17;72,64;10
26/03/23;Otoño;11:00 a. m.;19;60;931,82;140;SSE;1,94;0,95;50,22;49,94;126,95;52,49;8
26/03/23;Otoño;12:00 p. m.;19,4;63;931,64;990;#N/D;1,11;1,17;43,45;49,41;116,03;33,45;6
26/03/23;Otoño;01:00 p. m.;20,9;57;930,45;990;#N/D;1,67;1,15;49,37;51,07;126,77;29,36;6
26/03/23;Otoño;02:00 p. m.;22,7;49;929,36;990;#N/D;1,67;2,23;52,86;52,17;133,23;17,15;2
26/03/23;Otoño;03:00 p. m.;24,3;45;928,08;990;#N/D;3,06;0,74;47,72;54,09;127,25;77,12;0
26/03/23;Otoño;04:00 p. m.;23,9;46;927,34;60;ENE;3,61;1,08;46,52;53,7;125,02;101,75;0
26/03/23;Otoño;05:00 p. m.;24,9;43;926,52;990;#N/D;2,5;0,99;44,68;53,06;121,58;106,58;2,5
26/03/23;Otoño;06:00 p. m.;24,4;45;926,34;60;ENE;2,5;1;49,59;56,22;132,27;113,58;11
26/03/23;Otoño;07:00 p. m.;24,3;47;926,16;300;WNW;1,67;1,06;80,29;64,93;188,05;116,79;5,5
26/03/23;Otoño;08:00 p. m.;24;52;926,25;990;#N/D;1,11;1,1;159,77;67,93;312,9;118,12;7
26/03/23;Otoño;09:00 p. m.;23,6;57;926,43;0;N;0;1,17;173,91;66,32;332,98;118,3;10
26/03/23;Otoño;10:00 p. m.;22,6;58;926,61;0;N;0;1,39;151,58;61,87;294,28;119,94;15,5
26/03/23;Otoño;11:00 p. m.;22;59;926,43;0;N;0;1,58;136,1;59,71;268,4;121,74;18
27/03/23;Otoño;12:00 a. m.;22,3;57;926,16;0;N;0;1,44;108,61;55,97;222,52;122,95;23,5
27/03/23;Otoño;01:00 a. m.;21,8;63;925,33;0;N;0;1,59;103,9;56,48;215,81;125,47;23,5
27/03/23;Otoño;02:00 a. m.;21;68;924,6;0;N;0;1,61;90,28;55,69;194,12;129,97;25
27/03/23;Otoño;03:00 a. m.;19,3;74;924,15;0;N;0;1,69;70,92;50;158,75;132,55;19,5
27/03/23;Otoño;04:00 a. m.;20,1;72;923,23;270;W;1,67;1,4;61,5;47,9;142,2;133,06;3
27/03/23;Otoño;05:00 a. m.;19,5;73;922,5;0;N;0;1,17;58,18;47,92;137,13;134,63;10
27/03/23;Otoño;06:00 a. m.;18;83;922,68;0;N;0;1,37;51,7;43,17;122,44;130,72;25
27/03/23;Otoño;07:00 a. m.;17,6;84;922,59;0;N;0;1,61;59,24;46,53;137,36;130,92;13
27/03/23;Otoño;08:00 a. m.;18;82;922,77;0;N;0;1,74;61,36;46,33;140,42;130,58;8
27/03/23;Otoño;09:00 a. m.;20,5;68;922,68;140;SSE;1,67;1,88;65,86;46,95;147,93;130;9
27/03/23;Otoño;10:00 a. m.;22;61;922,59;150;SSE;3,06;1,59;63,42;46,83;144,09;126,46;3
27/03/23;Otoño;11:00 a. m.;23;60;922,23;70;ENE;1,67;1,4;47,7;47,15;120,29;158,36;14
27/03/23;Otoño;12:00 p. m.;25,2;51;921,4;990;#N/D;1,94;1,25;40,63;46,75;109,05;110,71;14,5
27/03/23;Otoño;01:00 p. m.;26,4;48;920,58;360;N;4,17;1,19;30,41;44,43;91,06;150,08;18
27/03/23;Otoño;02:00 p. m.;27,1;46;919,39;20;NNE;3,61;1,25;38,82;48,19;107,72;153,8;12,5
27/03/23;Otoño;03:00 p. m.;27,7;44;918,57;10;NNE;6,11;1,23;43,03;51,93;117,9;141,6;12,5
27/03/23;Otoño;04:00 p. m.;29,2;43;917,02;360;N;4,72;1,21;39,07;46,66;106,58;133,79;12,5
27/03/23;Otoño;05:00 p. m.;30,1;41;916,56;30;NNE;4,72;1,26;40,59;46,31;108,56;128,26;10
27/03/23;Otoño;06:00 p. m.;30,2;41;916,38;30;NNE;4,72;1,15;47,47;46,03;118,81;131,13;19
27/03/23;Otoño;07:00 p. m.;30;41;916,74;30;NNE;4,72;1,25;66,17;54,48;155,93;132,28;20,5
27/03/23;Otoño;08:00 p. m.;27,3;50;917,56;60;ENE;4,72;1,21;122,23;57,68;245,1;129,76;17,5
27/03/23;Otoño;09:00 p. m.;25,5;56;918,39;360;N;3,06;1,39;121,11;54,18;239,89;131,96;19
27/03/23;Otoño;10:00 p. m.;24;61;918,94;360;N;3,06;1,28;98,4;51,39;202,26;130,13;18
27/03/23;Otoño;11:00 p. m.;23;62;919,21;360;N;3,06;1,28;89,57;51,08;188,43;142,05;8,5
28/03/23;Otoño;12:00 a. m.;22,7;62;918,75;360;N;2,5;1,24;89,56;50,2;187,53;154,27;24,5
28/03/23;Otoño;01:00 a. m.;20,3;80;918,39;0;N;0;1,24;83,24;46,74;174,39;168,48;20
28/03/23;Otoño;02:00 a. m.;19,5;85;918,02;0;N;0;1,33;73,66;44,6;157,56;179,38;18,5
28/03/23;Otoño;03:00 a. m.;19;86;917,11;140;SSE;1,67;1,24;67,02;43,59;146,36;186,78;18
28/03/23;Otoño;04:00 a. m.;18,7;84;916,92;0;N;0;1,2;59,74;40,33;131,92;189,51;4
28/03/23;Otoño;05:00 a. m.;18;90;916,65;0;N;0;1,09;56,71;39,34;126,31;187,37;6
28/03/23;Otoño;06:00 a. m.;17,5;92;916,65;0;N;0;1,14;58,1;39,21;128,3;185,22;2
12/07/23;Invierno;10:00 a. m.;5,3;82;931,73;180;S;0,56;1,62;32,04;22,24;71,37;1,56;1
12/07/23;Invierno;11:00 a. m.;5,9;78;932,46;180;S;1,67;1,49;56,19;41,54;127,69;1,21;0
12/07/23;Invierno;12:00 p. m.;6,5;76;933,1;70;ENE;1,94;1,94;45,92;42,12;112,53;2,46;8
12/07/23;Invierno;01:00 p. m.;7,6;69;933,56;150;SSE;2,5;1,67;20,1;40,67;71,48;1,68;3
12/07/23;Invierno;02:00 p. m.;8,6;62;932,92;170;SSE;3,06;1,49;12,45;27,98;47,07;2,41;1
12/07/23;Invierno;03:00 p. m.;10;54;931,91;110;ESE;2,5;1,44;21,8;32,53;65,96;2,47;2
12/07/23;Invierno;04:00 p. m.;10,6;51;931,82;110;ESE;1,67;1,53;19,36;44,76;74,44;2,17;23
12/07/23;Invierno;05:00 p. m.;11,9;44;932,28;160;SSE;3,06;1,35;11,23;41,55;58,76;2,27;33,5
12/07/23;Invierno;06:00 p. m.;10,9;49;933,74;100;ESE;3,06;1,38;20,57;57,99;89,53;0,97;55
12/07/23;Invierno;07:00 p. m.;9,2;56;935,39;110;ESE;1,94;1,45;30,46;61,91;108,62;0,31;60,5
12/07/23;Invierno;08:00 p. m.;7,8;66;936,94;100;ESE;2,5;1,3;19,76;51,65;81,95;0,63;50,5
12/07/23;Invierno;09:00 p. m.;5,8;75;938,68;0;N;0;1,55;31,64;51,76;100,28;0,25;38
12/07/23;Invierno;10:00 p. m.;5,1;81;939,59;90;E;1,94;1,17;12,17;44,06;62,72;0,73;26,5
12/07/23;Invierno;11:00 p. m.;5,5;80;939,96;50;ENE;1,67;0,89;4,2;39,08;45,52;0,88;20
13/07/23;Invierno;12:00 a. m.;5,3;78;939,87;360;N;1,67;1,05;5,71;31,98;40,74;1,36;19,5
13/07/23;Invierno;01:00 a. m.;5,8;81;939,68;320;NNW;1,94;1;2,42;27,46;31,17;0,18;23,5
13/07/23;Invierno;02:00 a. m.;5,3;81;939,5;50;ENE;1,67;0,89;1,79;21,56;24,3;0;12,5
13/07/23;Invierno;03:00 a. m.;5,1;84;939,04;50;ENE;1,67;1,05;1,11;19,37;21,07;0;9,5
13/07/23;Invierno;04:00 a. m.;5;82;938,4;360;N;3,06;1,04;1,39;18,12;20,25;1,34;12,5
13/07/23;Invierno;05:00 a. m.;4,8;85;938,22;0;N;0;1,08;1,44;20,49;22,7;1,25;13
13/07/23;Invierno;06:00 a. m.;4,5;88;937,95;360;N;1,94;1,07;3,76;29,96;35,72;0,73;17,5
13/07/23;Invierno;07:00 a. m.;4,5;85;938,4;50;ENE;2,5;1,27;10,82;40,86;57,45;0;15
13/07/23;Invierno;08:00 a. m.;4,3;85;939,04;140;SSE;1,94;1,37;23,23;45,88;81,5;0,03;25,5
13/07/23;Invierno;09:00 a. m.;4;84;939,59;50;ENE;1,11;1,58;49,19;43,42;118,85;0,26;28
13/07/23;Invierno;10:00 a. m.;4,4;88;939,87;0;N;0;1,41;26,55;42,1;82,81;0,24;22
13/07/23;Invierno;11:00 a. m.;5,8;80;939,59;360;N;3,61;1,27;23,84;39,22;75,77;0,15;15
13/07/23;Invierno;12:00 p. m.;7,6;65;938,68;360;N;3,61;1,43;15,83;36,18;60,45;0;60
13/07/23;Invierno;01:00 p. m.;8,2;63;937,86;360;N;5,28;1,29;18,53;31,83;60,25;0,17;30,5
13/07/23;Invierno;02:00 p. m.;10,2;50;936,39;360;N;5,56;1,27;9,57;27,47;42,15;1,21;22
13/07/23;Invierno;03:00 p. m.;10,4;51;935,11;360;N;5,28;1,21;7,74;25,92;37,79;2;9,5
13/07/23;Invierno;04:00 p. m.;11,4;48;934,75;360;N;5,28;1,31;8,62;25,99;39,2;2,11;23
13/07/23;Invierno;05:00 p. m.;11;47;934,57;20;NNE;3,06;1,27;7,46;30,89;42,33;1,94;20
13/07/23;Invierno;06:00 p. m.;11,4;48;933,93;20;NNE;4,17;1,29;8,95;45,56;59,28;1,58;31
13/07/23;Invierno;07:00 p. m.;9,4;56;934,29;50;ENE;1,11;1,77;35,19;63,87;117,82;0,03;37,5
13/07/23;Invierno;08:00 p. m.;7,4;70;934,84;0;N;0;1,89;90,94;46,66;186,1;0;52
13/07/23;Invierno;09:00 p. m.;6,6;73;934,75;160;SSE;1,11;1,84;68,16;43,26;147,77;0,38;38
13/07/23;Invierno;10:00 p. m.;5,5;78;934,38;0;N;0;2,54;132,67;35,17;238,6;0;63
13/07/23;Invierno;11:00 p. m.;6;71;934,2;340;NNW;1,11;2,34;109,62;40,26;208,34;0;74
14/07/23;Invierno;12:00 a. m.;6,1;58;933,56;340;NNW;3,61;1,74;48,72;55,08;129,79;0;61
14/07/23;Invierno;01:00 a. m.;4,7;68;933,19;0;N;0;1,69;32,56;62,8;112,73;0;29,5
14/07/23;Invierno;02:00 a. m.;5;66;932,01;160;SSE;1,11;2,02;42,7;59,56;125,03;0;31,5
14/07/23;Invierno;03:00 a. m.;5,6;65;930,82;180;S;1,67;1,56;12,77;51,73;71,3;0;39
14/07/23;Invierno;04:00 a. m.;4,1;72;930,63;230;WSW;1,67;1,18;2,4;35,82;39,51;0,92;16,5
14/07/23;Invierno;05:00 a. m.;2,6;78;929,72;180;S;1,11;1,3;2,74;33,6;37,8;1,23;7
14/07/23;Invierno;06:00 a. m.;1,3;87;929,63;230;WSW;1,67;1,34;32,72;38,79;88,96;0,73;18,5
14/07/23;Invierno;07:00 a. m.;0,4;92;930,09;0;N;0;1,87;98,2;25,6;176,18;0,46;21,5
14/07/23;Invierno;08:00 a. m.;0;92;930,18;0;N;0;2,05;141,73;22,04;239,36;0,46;43,5
14/07/23;Invierno;09:00 a. m.;0,5;89;930,36;0;N;0;2,51;176,94;11,86;283,16;0,25;46,5
14/07/23;Invierno;10:00 a. m.;3,3;79;930,27;250;WSW;1,11;2,27;115,41;35,51;212,47;0,51;41
14/07/23;Invierno;11:00 a. m.;5,5;71;930,09;270;W;0,56;1,94;55,22;52,27;136,93;0,81;31
14/07/23;Invierno;12:00 p. m.;7,9;58;929,17;110;ESE;1,94;1,8;34,68;55,55;108,73;1,48;35
14/07/23;Invierno;01:00 p. m.;9,5;53;928,62;140;SSE;1,67;1,59;19,57;50,02;80,04;1,01;61
14/07/23;Invierno;02:00 p. m.;10,6;49;927,53;90;E;1,67;1,46;12,44;46,82;65,9;0,3;54
14/07/23;Invierno;03:00 p. m.;12,3;40;926,06;360;N;1,94;1,73;12,61;46,39;65,73;0,88;49,5
14/07/23;Invierno;04:00 p. m.;12,1;43;925,7;90;E;1,94;1,71;6,91;41,97;52,56;2,34;39
14/07/23;Invierno;05:00 p. m.;12,1;43;925,61;50;ENE;1,94;1,74;6,07;42,08;51,39;2,5;50
14/07/23;Invierno;06:00 p. m.;11,9;43;925,61;50;ENE;2,5;1,72;13,53;62,71;83,45;0,78;48
14/07/23;Invierno;07:00 p. m.;9,3;53;926,8;70;ENE;1,94;2,15;74,92;74,64;189,52;0;57,5
14/07/23;Invierno;08:00 p. m.;7,8;63;927,89;0;N;0;2,54;155,07;46,5;284,27;0;88
14/07/23;Invierno;09:00 p. m.;7,2;66;928,53;250;WSW;1,11;2,48;110,51;49,95;219,4;0;76
14/07/23;Invierno;10:00 p. m.;5,9;73;928,81;230;WSW;1,67;2,4;100,28;49,02;202,78;0;74
14/07/23;Invierno;11:00 p. m.;4,4;77;928,9;0;N;0;3,46;166,79;37,45;293,19;0;69
15/07/23;Invierno;12:00 a. m.;4,1;77;929,54;250;WSW;1,67;2,78;89,21;50,44;187,22;0;109,5
15/07/23;Invierno;01:00 a. m.;3,7;79;929,9;180;S;1,11;2,78;80,4;49,42;172,71;0;100,5
15/07/23;Invierno;02:00 a. m.;3,4;79;930;0;N;0;2,34;55,47;53,01;138,07;0;75
15/07/23;Invierno;03:00 a. m.;3;80;929,81;230;WSW;1,11;2,11;25,24;57,84;96,55;0,18;52
15/07/23;Invierno;04:00 a. m.;2,9;81;929,63;0;N;0;2,16;32,08;53,31;102,5;0,36;46
15/07/23;Invierno;05:00 a. m.;1,9;84;929,45;0;N;0;2,24;47,54;46,66;119,55;0,4;46,5
15/07/23;Invierno;06:00 a. m.;1;89;929,36;0;N;0;2,45;86,32;36,81;169,16;0,61;45,5
15/07/23;Invierno;07:00 a. m.;1,2;91;930;250;WSW;1,67;2,4;110,81;27,71;197,62;0,69;47
15/07/23;Invierno;08:00 a. m.;2,4;85;930,91;250;WSW;1,67;2,28;97;34,95;183,67;0,67;50
15/07/23;Invierno;09:00 a. m.;0,6;90;932,01;190;SSW;1,11;2,23;90,4;41,87;180,48;1,34;44
15/07/23;Invierno;10:00 a. m.;4,6;74;932,37;190;SSW;1,67;2,15;53,2;52,35;133,92;1,71;44
15/07/23;Invierno;11:00 a. m.;8,4;59;932,74;170;SSE;0,56;1,76;17,35;43,99;70,59;2,77;16
15/07/23;Invierno;12:00 p. m.;11,1;43;932,65;170;SSE;5,28;1,48;6,37;30,71;40,48;3,37;21
15/07/23;Invierno;01:00 p. m.;12,1;42;932,19;150;SSE;5,56;1,46;4,84;25,22;32,64;3,69;10
15/07/23;Invierno;02:00 p. m.;12,8;43;931,18;140;SSE;4,17;1,47;3,54;22,12;27,54;3,78;23,5
15/07/23;Invierno;03:00 p. m.;13,2;41;930,36;110;ESE;3,61;1,44;3,6;21,42;26,94;3,62;10
15/07/23;Invierno;04:00 p. m.;13,7;41;930,09;130;ESE;4,17;1,55;4,08;21,7;27,96;3,63;18
15/07/23;Invierno;05:00 p. m.;13;44;930,18;100;ESE;4,17;1,55;4,77;25,27;32,58;3,15;22,5
15/07/23;Invierno;06:00 p. m.;12,4;47;930,82;100;ESE;4,17;1,57;5,55;32,51;41,01;2,48;25,5
15/07/23;Invierno;07:00 p. m.;10,6;55;931,82;120;ESE;2,5;1,91;12,11;53,82;72,39;1,18;32
15/07/23;Invierno;08:00 p. m.;9;61;932,37;140;SSE;1,67;2,07;40,35;60,46;122,33;0,41;40
15/07/23;Invierno;09:00 p. m.;8,8;65;933,83;180;S;1,67;1,92;23,03;64,23;99,53;0,51;34,5
15/07/23;Invierno;10:00 p. m.;8,5;65;934,2;180;S;1,67;1,77;11,21;57,94;75,13;0,68;27
15/07/23;Invierno;11:00 p. m.;8;67;934,29;140;SSE;1,67;1,83;6,18;52,36;61,84;0,82;29,5
16/07/23;Invierno;12:00 a. m.;7,7;64;934,2;0;N;0;1,73;4,71;49,29;56,51;0,91;20,5
16/07/23;Invierno;01:00 a. m.;7,1;67;934,38;180;S;1,67;1,72;4;44,42;50,56;0,86;30,5
16/07/23;Invierno;02:00 a. m.;6,8;68;934,02;180;S;1,67;1,6;1,84;36,84;39,66;1,3;24,5
16/07/23;Invierno;03:00 a. m.;6,5;69;933,56;0;N;0;1,61;2,08;36,85;40,05;1,25;10
16/07/23;Invierno;04:00 a. m.;8;67;933,56;140;SSE;1,94;1,45;2,44;28,95;32,7;1,93;12
16/07/23;Invierno;05:00 a. m.;7,3;62;933,38;0;N;0;1,55;1,36;27,37;29,45;2,37;8,5
16/07/23;Invierno;06:00 a. m.;7;63;933,47;0;N;0;1,51;1,46;28,89;31,12;2,33;10,5
16/07/23;Invierno;07:00 a. m.;7,3;60;933,56;0;N;0;1,57;3,42;34,72;39,96;1,73;4,5
16/07/23;Invierno;08:00 a. m.;7;70;934,02;0;N;0;1,58;4,16;46,02;52,4;1,38;15,5
16/07/23;Invierno;09:00 a. m.;7;66;934,47;150;SSE;0,56;1,56;2,68;40,47;44,57;2,14;8
16/07/23;Invierno;10:00 a. m.;8,3;47;934,66;150;SSE;1,94;1,51;2,69;29,32;33,44;3,29;2,5
16/07/23;Invierno;11:00 a. m.;9,6;38;935,39;170;SSE;3,61;1,44;3,64;24,15;29,74;3,58;3,5
16/07/23;Invierno;12:00 p. m.;10,3;31;935,3;170;SSE;3,06;1,43;1,75;17,33;20,02;4,54;13,5
16/07/23;Invierno;01:00 p. m.;11;26;935,02;100;ESE;4,17;1,49;2,82;21,55;25,87;4,53;3,5
16/07/23;Invierno;02:00 p. m.;11,3;25;934,75;140;SSE;5,28;1,52;2,18;19,95;23,29;4,77;12,5
16/07/23;Invierno;03:00 p. m.;11;23;934,02;100;ESE;4,17;1,5;1,99;18,21;21,26;4,71;11,5
16/07/23;Invierno;04:00 p. m.;11,4;24;933,38;120;ESE;4,17;1,47;2,42;18,89;22,6;4,72;16
16/07/23;Invierno;05:00 p. m.;11,1;27;933,74;120;ESE;4,72;1,44;1,72;16,49;19,12;4,75;12
16/07/23;Invierno;06:00 p. m.;10;29;934,47;100;ESE;4,72;1,58;2,56;23,21;27,13;4,35;26
16/07/23;Invierno;07:00 p. m.;8;43;935,66;120;ESE;1,94;1,71;3,47;39,99;45,31;3;27,5
16/07/23;Invierno;08:00 p. m.;6,4;53;936,85;180;S;0,56;1,93;17,24;65,05;91,48;1,5;24
